Gene,CTL_1,CTL_2,TGFb_1,TGFb_2
YEATS2,10.04939825,10.2745629,9.96130799,10.17981908
SUCLG1,10.5641021,10.56330179,10.45991886,10.55091621
HS.563289,6.510383076,6.465976158,6.252801775,6.64644417
TYMS,11.84607822,11.53806843,11.72530716,11.46775146
LOC645466,8.677132725,8.499792931,8.572007723,8.703389073
HS.172608,6.607670003,6.364576602,6.350225187,6.55995364
LRSAM1,8.44009088,8.483360942,8.341080576,8.114271616
GRSF1,11.41545577,11.54997023,11.31420123,11.33639975
ILVBL,10.53685871,10.45770783,10.43196102,10.40998327
NLN,7.980481061,7.752306704,7.847958738,7.720813318
DDIT4,13.08005798,12.96595811,12.96797083,13.22251477
HS.544071,6.918212104,6.764449386,6.681772241,6.735549778
LOC651272,6.710761922,6.338382435,6.452840051,6.467395155
TNRC18,6.916046991,6.744597324,6.679450307,6.92736834
HS.576446,6.683381122,6.468045479,6.424914981,6.462696363
MTF1,8.991609999,8.948831224,8.882806469,8.916949954
LOC730083,7.056403426,6.746737962,6.84070462,6.685874873
EFHB,6.892069376,6.544722923,6.653387949,6.725607289
HS.376729,6.661091573,6.505963277,6.403221012,6.441968813
HS.560964,6.536294391,6.315567879,6.279006732,6.344924035
LOC441864,6.566825474,6.480226044,6.308983284,6.381822189
TAPBPL,7.034446557,7.059115521,6.817200457,6.779119832
DARS2,8.824128438,8.689680895,8.720148317,8.485033064
RPS19,14.31940341,14.10270343,14.12774487,14.26397908
C1ORF92,6.879571391,6.688669298,6.638445847,6.544600908
LOC728411,7.580788354,7.647734198,7.426573933,7.409050377
NBPF7,6.668582932,6.650624485,6.410031105,6.780236544
HS.575473,7.208318206,7.173000499,7.022003994,6.95029204
BBOX1,6.445414516,6.386947437,6.189138643,6.500560236
PHKB,8.352410755,8.505103588,8.245099338,8.398576961
CCDC101,7.725978516,7.56319406,7.58649389,7.517779073
FAM101B,6.691410534,6.52926751,6.432624275,6.636709331
HS.539900,6.475002033,6.389055675,6.215574556,6.424625786
ASB7,7.100681014,6.818814056,6.896408546,6.898682344
XKR8,8.30029667,8.110941585,8.185648728,8.173158151
HECA,8.648712891,8.624958934,8.539920286,8.677132725
XRCC3,8.641465129,8.424121217,8.534443536,8.054414745
PFKFB4,11.6593713,11.87298982,11.53369751,11.49362468
CFH,7.518039608,7.683484983,7.357481873,7.269456088
TM9SF3,9.639583033,9.574646164,9.545773699,9.765037215
HS.201950,7.028662007,6.818250748,6.811473656,7.015404933
LOC392713,7.04341979,6.862329072,6.825334111,7.030149271
DDX54,9.088135014,8.900559903,8.977335383,8.780719093
CENPA,9.603407335,9.662232832,9.51001645,9.186280938
TMEM18,8.060957376,7.973617949,7.931764158,7.823018807
LOC649604,8.65475124,8.206834782,8.547300677,8.108912825
HS.242774,6.637553635,6.654610263,6.378390172,6.446696188
PTTG3,11.97667702,12.23049404,11.84672448,11.84607822
LOC650538,6.485323501,6.444632918,6.226920449,6.537796185
PHF2,8.5697923,8.411839792,8.47285254,8.582887504
HS.537731,6.754567886,6.453551364,6.498120962,6.619535192
HS.563050,6.619646093,6.591953129,6.361405815,6.541102329
C14ORF151,9.707377947,9.053084174,9.619609542,9.383372015
C8ORF37,12.05132829,11.84878493,11.91505118,11.93984311
CILP2,6.218822835,6.406245657,5.942737139,6.34610509
LOC646331,6.797577373,6.599614283,6.54635316,6.577322806
HSPH1,12.48187232,12.50259998,12.35490237,12.34687315
DPP3,8.989199469,8.726361677,8.879872335,8.875921314
GCG,6.908675742,6.784576309,6.671004311,6.616824272
NAPA,7.4454092,7.395762888,7.28308021,7.529240437
LOC643831,7.106701285,7.086128479,6.902206563,7.089132946
TCERG1L,6.482472556,6.326164381,6.223661425,6.453759466
GTF2A1,7.048410799,6.854155795,6.8295603,6.877640749
HS.532032,6.731036042,6.512732383,6.473796126,6.447344624
HS.464966,6.520066379,6.661320081,6.260741328,6.507069026
ARID4B,8.804907945,8.910915763,8.699244601,8.818868319
HS.568471,6.935639225,6.891037804,6.701943871,6.811022223
LOC389852,6.628965058,6.336963581,6.370077332,6.329851682
LOC644774,12.52099023,12.60808677,12.38277776,12.4829257
TYW3,9.202929563,9.049039053,9.104767429,9.01781471
KCTD10,9.893647992,10.08750088,9.798200996,9.99155818
BTN3A3,8.133651075,7.764648127,8.005358695,7.8832212
LOC440551,6.636579967,6.226858888,6.376515855,6.340772901
ARSF,6.541895718,6.384455588,6.283605203,6.124663309
MPHOSPH8,9.851480263,9.807898055,9.757669948,9.685211321
DNAJB1,11.09145885,10.77689403,10.96604241,10.96993543
ESRRAP2,9.309928734,9.349453908,9.213440263,9.111014176
HS.551847,7.385314973,7.597151935,7.228574337,7.196778313
IQWD1,9.820531808,9.980317346,9.726608755,10.02273213
FBXO30,8.567609338,8.42305576,8.470851719,8.381983274
KIAA1671,9.525965425,9.937713145,9.429933983,9.89732029
PPP1CB,9.208385203,9.418893651,9.111836751,9.458917779
POLRMT,10.23377291,10.11441725,10.13920281,10.12432303
GSDMB,7.253080501,7.30040355,7.070688766,7.091985878
LOC646071,6.768397678,6.84997028,6.513797702,6.572603775
FAM129A,11.10953325,10.71883183,10.99110985,11.02895588
LELP1,6.797437017,6.57781985,6.545579033,6.625142376
ZC3H11A,7.060206777,6.653324408,6.843979477,6.931116642
FCHSD1,6.829497675,6.894722928,6.580877837,6.849774352
HS.526973,6.433906208,6.423437271,6.172529684,6.329019053
MST1R,8.368261993,8.518630094,8.2592043,8.115005503
CDCA4,10.17910096,10.01027737,10.08908164,9.960088281
MKS1,7.507886372,7.436041114,7.344190789,7.319547035
MRPL12,10.84529301,10.57563106,10.72300719,10.61682997
HS.407537,6.550517505,6.514808703,6.290867677,6.503125937
SCO2,10.75628109,10.44350954,10.63882366,10.50021893
HS.250648,10.17407493,9.889100524,10.07918218,10.23652683
