Gene	CTL_1	CTL_2	TGFb_1	TGFb_2
YTHDF1	2754.089	2070.358	2572.752	2145.744
SLCO3A1	141.3451	123.6537	132.0378	127.706
HS.571122	99.37273	70.1256	92.82787	84.63829
TEX101	95.83681	74.24131	89.52476	74.19765
CXCR3	93.05734	78.51067	86.92825	73.34327
BRCC3	678.3738	549.3344	633.6866	530.636
ZKSCAN4	395.7637	357.6244	369.693	308.4326
HS.382185	98.68437	79.97533	92.18149	78.75624
CHRND	102.5624	78.01809	95.8013	81.43772
C7ORF28A	469.6928	380.427	438.7223	428.2598
DBNL	1598.195	1534.673	1492.813	1476.119
HS.494690	93.82298	79.84826	87.63568	83.36006
ATP2B1	351.3065	261.3581	328.1266	312.7395
FLVCR1	277.5345	166.1646	259.2142	211.2116
LOC642104	103.5126	91.76218	96.67894	84.56981
HS.582693	97.51608	92.0384	91.07796	76.67027
HS.570080	101.053	89.91616	94.37801	94.21478
LOC643206	118.4376	96.97266	110.6138	98.27016
MORF4L1	2528.854	2112.947	2361.782	2807.962
LOC642639	107.1689	90.94788	100.088	85.70223
